PassengerId,Survived,Age,SibSp,Parch,Fare,Sex,Embarked,Pclass
649,0,,0,0,7.55,male,S,3
1,0,22.0,1,0,7.25,male,S,3
73,0,21.0,0,0,73.5,male,S,2
804,1,0.42,0,1,8.5167,male,C,3
469,0,,0,0,7.725,male,Q,3
428,1,19.0,0,0,26.0,female,S,2
535,0,30.0,0,0,8.6625,female,S,3
116,0,21.0,0,0,7.925,male,S,3
310,1,30.0,0,0,56.9292,female,C,1
488,0,58.0,0,0,29.7,male,C,1
626,0,61.0,0,0,32.3208,male,S,1
604,0,44.0,0,0,8.05,male,S,3
501,0,17.0,0,0,8.6625,male,S,3
39,0,18.0,2,0,18.0,female,S,3
25,0,8.0,3,1,21.075,female,S,3
884,0,28.0,0,0,10.5,male,S,2
327,0,61.0,0,0,6.2375,male,S,3
200,0,24.0,0,0,13.0,female,S,2
206,0,2.0,0,1,10.4625,female,S,3
321,0,22.0,0,0,7.25,male,S,3
432,1,,1,0,16.1,female,S,3
742,0,36.0,1,0,78.85,male,S,1
438,1,24.0,2,3,18.75,female,S,2
554,1,22.0,0,0,7.225,male,C,3
826,0,,0,0,6.95,male,Q,3
312,1,18.0,2,2,262.375,female,C,1
259,1,35.0,0,0,512.3292,female,C,1
864,0,,8,2,69.55,female,S,3
457,0,65.0,0,0,26.55,male,S,1
265,0,,0,0,7.75,female,Q,3
747,0,16.0,1,1,20.25,male,S,3
720,0,33.0,0,0,7.775,male,S,3
670,1,,1,0,52.0,female,S,1
309,0,30.0,1,0,24.0,male,C,2
296,0,,0,0,27.7208,male,C,1
564,0,,0,0,8.05,male,S,3
380,0,19.0,0,0,7.775,male,S,3
543,0,11.0,4,2,31.275,female,S,3
283,0,16.0,0,0,9.5,male,S,3
780,1,43.0,0,1,211.3375,female,S,1
149,0,36.5,0,2,26.0,male,S,2
379,0,20.0,0,0,4.0125,male,C,3
562,0,40.0,0,0,7.8958,male,S,3
860,0,,0,0,7.2292,male,C,3
106,0,28.0,0,0,7.8958,male,S,3
72,0,16.0,5,2,46.9,female,S,3
115,0,17.0,0,0,14.4583,female,C,3
235,0,24.0,0,0,10.5,male,S,2
348,1,,1,0,16.1,female,S,3
831,1,15.0,1,0,14.4542,female,C,3
698,1,,0,0,7.7333,female,Q,3
793,0,,8,2,69.55,female,S,3
611,0,39.0,1,5,31.275,female,S,3
403,0,21.0,1,0,9.825,female,S,3
702,1,35.0,0,0,26.2875,male,S,1
542,0,9.0,4,2,31.275,female,S,3
50,0,18.0,1,0,17.8,female,S,3
244,0,22.0,0,0,7.125,male,S,3
644,1,,0,0,56.4958,male,S,3
303,0,19.0,0,0,0.0,male,S,3
279,0,7.0,4,1,29.125,male,Q,3
180,0,36.0,0,0,0.0,male,S,3
202,0,,8,2,69.55,male,S,3
158,0,30.0,0,0,8.05,male,S,3
572,1,53.0,2,0,51.4792,female,S,1
795,0,25.0,0,0,7.8958,male,S,3
839,1,32.0,0,0,56.4958,male,S,3
232,0,29.0,0,0,7.775,male,S,3
620,0,26.0,0,0,10.5,male,S,2
451,0,36.0,1,2,27.75,male,S,2
809,0,39.0,0,0,13.0,male,S,2
712,0,,0,0,26.55,male,S,1
519,1,36.0,1,0,26.0,female,S,2
709,1,22.0,0,0,151.55,female,S,1
790,0,46.0,0,0,79.2,male,C,1
454,1,49.0,1,0,89.1042,male,C,1
299,1,,0,0,30.5,male,S,1
731,1,29.0,0,0,211.3375,female,S,1
539,0,,0,0,14.5,male,S,3
298,0,2.0,1,2,151.55,female,S,1
353,0,15.0,1,1,7.2292,male,C,3
33,1,,0,0,7.75,female,Q,3
546,0,64.0,0,0,26.0,male,S,1
387,0,1.0,5,2,46.9,male,S,3
205,1,18.0,0,0,8.05,male,S,3
126,1,12.0,1,0,11.2417,male,C,3
176,0,18.0,1,1,7.8542,male,S,3
656,0,24.0,2,0,73.5,male,S,2
599,0,,0,0,7.225,male,C,3
236,0,,0,0,7.55,female,S,3
111,0,47.0,0,0,52.0,male,S,1
480,1,2.0,0,1,12.2875,female,S,3
96,0,,0,0,8.05,male,S,3
529,0,39.0,0,0,7.925,male,S,3
779,0,,0,0,7.7375,male,Q,3
21,0,35.0,0,0,26.0,male,S,2
764,1,36.0,1,2,120.0,female,S,1
879,0,,0,0,7.8958,male,S,3
29,1,,0,0,7.8792,female,Q,3
445,1,,0,0,8.1125,male,S,3
278,0,,0,0,0.0,male,S,2
735,0,23.0,0,0,13.0,male,S,2
285,0,,0,0,26.0,male,S,1
619,1,4.0,2,1,39.0,female,S,2
257,1,,0,0,79.2,female,C,1
185,1,4.0,0,2,22.025,female,S,3
399,0,23.0,0,0,10.5,male,S,2
877,0,20.0,0,0,9.8458,male,S,3
212,1,35.0,0,0,21.0,female,S,2
582,1,39.0,1,1,110.8833,female,C,1
90,0,24.0,0,0,8.05,male,S,3
405,0,20.0,0,0,8.6625,female,S,3
192,0,19.0,0,0,13.0,male,S,2
559,1,39.0,1,1,79.65,female,S,1
594,0,,0,2,7.75,female,Q,3
725,1,27.0,1,0,53.1,male,S,1
475,0,22.0,0,0,9.8375,female,S,3
772,0,48.0,0,0,7.8542,male,S,3
699,0,49.0,1,1,110.8833,male,C,1
28,0,19.0,3,2,263.0,male,S,1
224,0,,0,0,7.8958,male,S,3
217,1,27.0,0,0,7.925,female,S,3
249,1,37.0,1,1,52.5542,male,S,1
190,0,36.0,0,0,7.8958,male,S,3
392,1,21.0,0,0,7.7958,male,S,3
71,0,32.0,0,0,10.5,male,S,2
579,0,,1,0,14.4583,female,C,3
534,1,,0,2,22.3583,female,C,3
871,0,26.0,0,0,7.8958,male,S,3
614,0,,0,0,7.75,male,Q,3
845,0,17.0,0,0,8.6625,male,S,3
220,0,30.0,0,0,10.5,male,S,2
234,1,5.0,4,2,31.3875,female,S,3
415,1,44.0,0,0,7.925,male,S,3
289,1,42.0,0,0,13.0,male,S,2
744,0,24.0,1,0,16.1,male,S,3
627,0,57.0,0,0,12.35,male,Q,2
367,1,60.0,1,0,75.25,female,C,1
515,0,24.0,0,0,7.4958,male,S,3
565,0,,0,0,8.05,female,S,3
555,1,22.0,0,0,7.775,female,S,3
740,0,,0,0,7.8958,male,S,3
711,1,24.0,0,0,49.5042,female,C,1
334,0,16.0,2,0,18.0,male,S,3
625,0,21.0,0,0,16.1,male,S,3
105,0,37.0,2,0,7.925,male,S,3
129,1,,1,1,22.3583,female,C,3
686,0,25.0,1,2,41.5792,male,C,2
872,1,47.0,1,1,52.5542,female,S,1
242,1,,1,0,15.5,female,Q,3
7,0,54.0,0,0,51.8625,male,S,1
586,1,18.0,0,2,79.65,female,S,1
404,0,28.0,1,0,15.85,male,S,3
734,0,23.0,0,0,13.0,male,S,2
550,1,8.0,1,1,36.75,male,S,2
590,0,,0,0,8.05,male,S,3
591,0,35.0,0,0,7.125,male,S,3
62,1,38.0,0,0,80.0,female,,1
527,1,50.0,0,0,10.5,female,S,2
446,1,4.0,0,2,81.8583,male,S,1
63,0,45.0,1,0,83.475,male,S,1
38,0,21.0,0,0,8.05,male,S,3
745,1,31.0,0,0,7.925,male,S,3
630,0,,0,0,7.7333,male,Q,3
166,1,9.0,0,2,20.525,male,S,3
651,0,,0,0,7.8958,male,S,3
834,0,23.0,0,0,7.8542,male,S,3
551,1,17.0,0,2,110.8833,male,C,1
697,0,44.0,0,0,8.05,male,S,3
401,1,39.0,0,0,7.925,male,S,3
782,1,17.0,1,0,57.0,female,S,1
13,0,20.0,0,0,8.05,male,S,3
836,1,39.0,1,1,83.1583,female,C,1
688,0,19.0,0,0,10.1708,male,S,3
440,0,31.0,0,0,10.5,male,S,2
287,1,30.0,0,0,9.5,male,S,3
145,0,18.0,0,0,11.5,male,S,2
640,0,,1,0,16.1,male,S,3
414,0,,0,0,0.0,male,S,2
693,1,,0,0,56.4958,male,S,3
675,0,,0,0,0.0,male,S,2
478,0,29.0,1,0,7.0458,male,S,3
26,1,38.0,1,5,31.3875,female,S,3
82,1,29.0,0,0,9.5,male,S,3
362,0,29.0,1,0,27.7208,male,C,2
134,1,29.0,1,0,26.0,female,S,2
2,1,38.0,1,0,71.2833,female,C,1
664,0,36.0,0,0,7.4958,male,S,3
20,1,,0,0,7.225,female,C,3
30,0,,0,0,7.8958,male,S,3
335,1,,1,0,133.65,female,S,1
502,0,21.0,0,0,7.75,female,Q,3
857,1,45.0,1,1,164.8667,female,S,1
584,0,36.0,0,0,40.125,male,C,1
351,0,23.0,0,0,9.225,male,S,3
84,0,28.0,0,0,47.1,male,S,1
496,0,,0,0,14.4583,male,C,3
331,1,,2,0,23.25,female,Q,3
54,1,29.0,1,0,26.0,female,S,2
891,0,32.0,0,0,7.75,male,Q,3
174,0,21.0,0,0,7.925,male,S,3
437,0,21.0,2,2,34.375,female,S,3
489,0,30.0,0,0,8.05,male,S,3
571,1,62.0,0,0,10.5,male,S,2
760,1,33.0,0,0,86.5,female,S,1
816,0,,0,0,0.0,male,S,1
467,0,,0,0,0.0,male,S,2
840,1,,0,0,29.7,male,C,1
759,0,34.0,0,0,8.05,male,S,3
424,0,28.0,1,1,14.4,female,S,3
873,0,33.0,0,0,5.0,male,S,1
150,0,42.0,0,0,13.0,male,S,2
517,1,34.0,0,0,10.5,female,S,2
219,1,32.0,0,0,76.2917,female,C,1
855,0,44.0,1,0,26.0,female,S,2
495,0,21.0,0,0,8.05,male,S,3
465,0,,0,0,8.05,male,S,3
144,0,19.0,0,0,6.75,male,Q,3
127,0,,0,0,7.75,male,Q,3
153,0,55.5,0,0,8.05,male,S,3
239,0,19.0,0,0,10.5,male,S,2
593,0,47.0,0,0,7.25,male,S,3
536,1,7.0,0,2,26.25,female,S,2
819,0,43.0,0,0,6.45,male,S,3
248,1,24.0,0,2,14.5,female,S,2
574,1,,0,0,7.75,female,Q,3
109,0,38.0,0,0,7.8958,male,S,3
384,1,35.0,1,0,52.0,female,S,1
338,1,41.0,0,0,134.5,female,C,1
869,0,,0,0,9.5,male,S,3
605,1,35.0,0,0,26.55,male,C,1
45,1,19.0,0,0,7.8792,female,Q,3
602,0,,0,0,7.8958,male,S,3
406,0,34.0,1,0,21.0,male,S,2
713,1,48.0,1,0,52.0,male,S,1
507,1,33.0,0,2,26.0,female,S,2
325,0,,8,2,69.55,male,S,3
792,0,16.0,0,0,26.0,male,S,2
169,0,,0,0,25.925,male,S,1
138,0,37.0,1,0,53.1,male,S,1
423,0,29.0,0,0,7.875,male,S,3
221,1,16.0,0,0,8.05,male,S,3
226,0,22.0,0,0,9.35,male,S,3
455,0,,0,0,8.05,male,S,3
520,0,32.0,0,0,7.8958,male,S,3
788,0,8.0,4,1,29.125,male,Q,3
628,1,21.0,0,0,77.9583,female,S,1
580,1,32.0,0,0,7.925,male,S,3
356,0,28.0,0,0,9.5,male,S,3
690,1,15.0,0,1,211.3375,female,S,1
137,1,19.0,0,2,26.2833,female,S,1
729,0,25.0,1,0,26.0,male,S,2
762,0,41.0,0,0,7.125,male,S,3
674,1,31.0,0,0,13.0,male,S,2
813,0,35.0,0,0,10.5,male,S,2
777,0,,0,0,7.75,male,Q,3
808,0,18.0,0,0,7.775,female,S,3
294,0,24.0,0,0,8.85,female,S,3
843,1,30.0,0,0,31.0,female,C,1
11,1,4.0,1,1,16.7,female,S,3
856,1,18.0,0,1,9.35,female,S,3
541,1,36.0,0,2,71.0,female,S,1
252,0,29.0,1,1,10.4625,female,S,3
208,1,26.0,0,0,18.7875,male,C,3
394,1,23.0,1,0,113.275,female,C,1
637,0,32.0,0,0,7.925,male,S,3
70,0,26.0,2,0,8.6625,male,S,3
195,1,44.0,0,0,27.7208,female,C,1
650,1,23.0,0,0,7.55,female,S,3
573,1,36.0,0,0,26.3875,male,S,1
841,0,20.0,0,0,7.925,male,S,3
113,0,22.0,0,0,8.05,male,S,3
326,1,36.0,0,0,135.6333,female,C,1
613,1,,1,0,15.5,female,Q,3
313,0,26.0,1,1,26.0,female,S,2
433,1,42.0,1,0,26.0,female,S,2
503,0,,0,0,7.6292,female,Q,3
342,1,24.0,3,2,263.0,female,S,1
612,0,,0,0,7.05,male,S,3
789,1,1.0,1,2,20.575,male,S,3
508,1,,0,0,26.55,male,S,1
623,1,20.0,1,1,15.7417,male,C,3
442,0,20.0,0,0,9.5,male,S,3
282,0,28.0,0,0,7.8542,male,S,3
408,1,3.0,1,1,18.75,male,S,2
188,1,45.0,0,0,26.55,male,S,1
443,0,25.0,1,0,7.775,male,S,3
635,0,9.0,3,2,27.9,female,S,3
706,0,39.0,0,0,26.0,male,S,2
460,0,,0,0,7.75,male,Q,3
93,0,46.0,1,0,61.175,male,S,1
411,0,,0,0,7.8958,male,S,3
652,1,18.0,0,1,23.0,female,S,2
575,0,16.0,0,0,8.05,male,S,3
874,0,47.0,0,0,9.0,male,S,3
504,0,37.0,0,0,9.5875,female,S,3
687,0,14.0,4,1,39.6875,male,S,3
476,0,,0,0,52.0,male,S,1
806,0,31.0,0,0,7.775,male,S,3
558,0,,0,0,227.525,male,C,1
659,0,23.0,0,0,13.0,male,S,2
131,0,33.0,0,0,7.8958,male,C,3
812,0,39.0,0,0,24.15,male,S,3
563,0,28.0,0,0,13.5,male,S,2
610,1,40.0,0,0,153.4625,female,S,1
198,0,42.0,0,1,8.4042,male,S,3
216,1,31.0,1,0,113.275,female,C,1
753,0,33.0,0,0,9.5,male,S,3
885,0,25.0,0,0,7.05,male,S,3
798,1,31.0,0,0,8.6833,female,S,3
482,0,,0,0,0.0,male,S,2
576,0,19.0,0,0,14.5,male,S,3
472,0,38.0,0,0,8.6625,male,S,3
441,1,45.0,1,1,26.25,female,S,2
737,0,48.0,1,3,34.375,female,S,3
682,1,27.0,0,0,76.7292,male,C,1
258,1,30.0,0,0,86.5,female,S,1
429,0,,0,0,7.75,male,Q,3
851,0,4.0,4,2,31.275,male,S,3
498,0,,0,0,15.1,male,S,3
636,1,28.0,0,0,13.0,female,S,2
491,0,,1,0,19.9667,male,S,3
666,0,32.0,2,0,73.5,male,S,2
461,1,48.0,0,0,26.55,male,S,1
77,0,,0,0,7.8958,male,S,3
553,0,,0,0,7.8292,male,Q,3
807,0,39.0,0,0,0.0,male,S,1
787,1,18.0,0,0,7.4958,female,S,3
66,1,,1,1,15.2458,male,C,3
820,0,10.0,3,2,27.9,male,S,3
207,0,32.0,1,0,15.85,male,S,3
9,1,27.0,0,2,11.1333,female,S,3
78,0,,0,0,8.05,male,S,3
773,0,57.0,0,0,10.5,female,S,2
59,1,5.0,1,2,27.75,female,S,2
473,1,33.0,1,2,27.75,female,S,2
425,0,18.0,1,1,20.2125,male,S,3
378,0,27.0,0,2,211.5,male,C,1
481,0,9.0,5,2,46.9,male,S,3
497,1,54.0,1,0,78.2667,female,C,1
632,0,51.0,0,0,7.0542,male,S,3
858,1,51.0,0,0,26.55,male,S,1
320,1,40.0,1,1,134.5,female,C,1
365,0,,1,0,15.5,male,Q,3
413,1,33.0,1,0,90.0,female,Q,1
142,1,22.0,0,0,7.75,female,S,3
89,1,23.0,3,2,263.0,female,S,1
648,1,56.0,0,0,35.5,male,C,1
324,1,22.0,1,1,29.0,female,S,2
322,0,27.0,0,0,7.8958,male,S,3
61,0,22.0,0,0,7.2292,male,C,3
487,1,35.0,1,0,90.0,female,S,1
386,0,18.0,0,0,73.5,male,S,2
420,0,10.0,0,2,24.15,female,S,3
434,0,17.0,0,0,7.125,male,S,3
302,1,,2,0,23.25,male,Q,3
870,1,4.0,1,1,11.1333,male,S,3
297,0,23.5,0,0,7.2292,male,C,3
316,1,26.0,0,0,7.8542,female,S,3
830,1,62.0,0,0,80.0,female,,1
47,0,,1,0,15.5,male,Q,3
87,0,16.0,1,3,34.375,male,S,3
110,1,,1,0,24.15,female,Q,3
361,0,40.0,1,4,27.9,male,S,3
646,1,48.0,1,0,76.7292,male,C,1
17,0,2.0,4,1,29.125,male,Q,3
494,0,71.0,0,0,49.5042,male,C,1
194,1,3.0,1,1,26.0,male,S,2
850,1,,1,0,89.1042,female,C,1
629,0,26.0,0,0,7.8958,male,S,3
402,0,26.0,0,0,8.05,male,S,3
540,1,22.0,0,2,49.5,female,C,1
439,0,64.0,1,4,263.0,male,S,1
141,0,,0,2,15.2458,female,C,3
199,1,,0,0,7.75,female,Q,3
468,0,56.0,0,0,26.55,male,S,1
15,0,14.0,0,0,7.8542,female,S,3
88,0,,0,0,8.05,male,S,3
266,0,36.0,0,0,10.5,male,S,2
263,0,52.0,1,1,79.65,male,S,1
223,0,51.0,0,0,8.05,male,S,3
756,1,0.67,1,1,14.5,male,S,2
260,1,50.0,0,1,26.0,female,S,2
4,1,35.0,1,0,53.1,female,S,1
355,0,,0,0,7.225,male,C,3
490,1,9.0,1,1,15.9,male,S,3
616,1,24.0,1,2,65.0,female,S,2
474,1,23.0,0,0,13.7917,female,C,2
662,0,40.0,0,0,7.225,male,C,3
140,0,24.0,0,0,79.2,male,C,1
68,0,19.0,0,0,8.1583,male,S,3
516,0,47.0,0,0,34.0208,male,S,1
343,0,28.0,0,0,13.0,male,S,2
57,1,21.0,0,0,10.5,female,S,2
305,0,,0,0,8.05,male,S,3
746,0,70.0,1,1,71.0,male,S,1
52,0,21.0,0,0,7.8,male,S,3
514,1,54.0,1,0,59.4,female,C,1
466,0,38.0,0,0,7.05,male,S,3
531,1,2.0,1,1,26.0,female,S,2
781,1,13.0,0,0,7.2292,female,C,3
306,1,0.92,1,2,151.55,male,S,1
435,0,50.0,1,0,55.9,male,S,1
538,1,30.0,0,0,106.425,female,C,1
696,0,52.0,0,0,13.5,male,S,2
358,0,38.0,0,0,13.0,female,S,2
187,1,,1,0,15.5,female,Q,3
556,0,62.0,0,0,26.55,male,S,1
130,0,45.0,0,0,6.975,male,S,3
360,1,,0,0,7.8792,female,Q,3
245,0,30.0,0,0,7.225,male,C,3
256,1,29.0,0,2,15.2458,female,C,3
783,0,29.0,0,0,30.0,male,S,1
391,1,36.0,1,2,120.0,male,S,1
721,1,6.0,0,1,33.0,female,S,2
155,0,,0,0,7.3125,male,S,3
372,0,18.0,1,0,6.4958,male,S,3
890,1,26.0,0,0,30.0,male,C,1
583,0,54.0,0,0,26.0,male,S,2
848,0,35.0,0,0,7.8958,male,C,3
159,0,,0,0,8.6625,male,S,3
766,1,51.0,1,0,77.9583,female,S,1
844,0,34.5,0,0,6.4375,male,C,3
272,1,25.0,0,0,0.0,male,S,3
485,1,25.0,1,0,91.0792,male,C,1
147,1,27.0,0,0,7.7958,male,S,3
718,1,27.0,0,0,10.5,female,S,2
791,0,,0,0,7.75,male,Q,3
395,1,24.0,0,2,16.7,female,S,3
827,0,,0,0,56.4958,male,S,3
419,0,30.0,0,0,13.0,male,S,2
577,1,34.0,0,0,13.0,female,S,2
838,0,,0,0,8.05,male,S,3
883,0,22.0,0,0,10.5167,female,S,3
681,0,,0,0,8.1375,female,Q,3
589,0,22.0,0,0,8.05,male,S,3
291,1,26.0,0,0,78.85,female,S,1
412,0,,0,0,6.8583,male,Q,3
631,1,80.0,0,0,30.0,male,S,1
214,0,30.0,0,0,13.0,male,S,2
359,1,,0,0,7.8792,female,Q,3
181,0,,8,2,69.55,female,S,3
381,1,42.0,0,0,227.525,female,C,1
100,0,34.0,1,0,26.0,male,S,2
136,0,23.0,0,0,15.0458,male,C,2
177,0,,3,1,25.4667,male,S,3
505,1,16.0,0,0,86.5,female,S,1
560,1,36.0,1,0,17.4,female,S,3
597,1,,0,0,33.0,female,S,2
888,1,19.0,0,0,30.0,female,S,1
40,1,14.0,1,0,11.2417,female,C,3
341,1,2.0,1,1,26.0,male,S,2
3,1,26.0,0,0,7.925,female,S,3
452,0,,1,0,19.9667,male,S,3
824,1,27.0,0,1,12.475,female,S,3
818,0,31.0,1,1,37.0042,male,C,2
