PassengerId,Survived,Age,SibSp,Parch,Fare
477,0,34.0,1,0,21.0
377,1,22.0,0,0,7.25
685,0,60.0,1,1,39.0
293,0,36.0,0,0,12.875
46,0,,0,0,8.05
431,1,28.0,0,0,26.55
385,0,,0,0,7.8958
624,0,21.0,0,0,7.8542
462,0,34.0,0,0,8.05
486,0,,3,1,25.4667
27,0,,0,0,7.225
363,0,45.0,0,1,14.4542
269,1,58.0,0,1,153.4625
64,0,4.0,3,2,27.9
665,1,20.0,1,0,7.925
794,0,,0,0,30.6958
867,1,27.0,1,0,13.8583
34,0,66.0,0,0,10.5
463,0,47.0,0,0,38.5
748,1,30.0,0,0,13.0
430,1,32.0,0,0,8.05
119,0,24.0,0,1,247.5208
16,1,55.0,0,0,16.0
717,1,38.0,0,0,227.525
43,0,,0,0,7.8958
479,0,22.0,0,0,7.5208
175,0,56.0,0,0,30.6958
393,0,28.0,2,0,7.925
500,0,24.0,0,0,7.7958
658,0,32.0,1,1,15.5
94,0,26.0,1,2,20.575
450,1,52.0,0,0,30.5
427,1,28.0,1,0,26.0
557,1,48.0,1,0,39.6
608,1,27.0,0,0,30.5
154,0,40.5,0,2,14.5
117,0,70.5,0,0,7.75
595,0,37.0,1,0,26.0
882,0,33.0,0,0,7.8958
751,1,4.0,1,1,23.0
757,0,28.0,0,0,7.7958
19,0,31.0,1,0,18.0
24,1,28.0,0,0,35.5
277,0,45.0,0,0,7.75
31,0,40.0,0,0,27.7208
649,0,,0,0,7.55
1,0,22.0,1,0,7.25
73,0,21.0,0,0,73.5
804,1,0.42,0,1,8.5167
469,0,,0,0,7.725
428,1,19.0,0,0,26.0
535,0,30.0,0,0,8.6625
116,0,21.0,0,0,7.925
310,1,30.0,0,0,56.9292
488,0,58.0,0,0,29.7
626,0,61.0,0,0,32.3208
604,0,44.0,0,0,8.05
501,0,17.0,0,0,8.6625
39,0,18.0,2,0,18.0
25,0,8.0,3,1,21.075
884,0,28.0,0,0,10.5
327,0,61.0,0,0,6.2375
200,0,24.0,0,0,13.0
206,0,2.0,0,1,10.4625
321,0,22.0,0,0,7.25
432,1,,1,0,16.1
742,0,36.0,1,0,78.85
438,1,24.0,2,3,18.75
554,1,22.0,0,0,7.225
826,0,,0,0,6.95
312,1,18.0,2,2,262.375
259,1,35.0,0,0,512.3292
864,0,,8,2,69.55
457,0,65.0,0,0,26.55
265,0,,0,0,7.75
747,0,16.0,1,1,20.25
720,0,33.0,0,0,7.775
670,1,,1,0,52.0
309,0,30.0,1,0,24.0
296,0,,0,0,27.7208
564,0,,0,0,8.05
380,0,19.0,0,0,7.775
543,0,11.0,4,2,31.275
283,0,16.0,0,0,9.5
780,1,43.0,0,1,211.3375
149,0,36.5,0,2,26.0
379,0,20.0,0,0,4.0125
562,0,40.0,0,0,7.8958
860,0,,0,0,7.2292
106,0,28.0,0,0,7.8958
72,0,16.0,5,2,46.9
115,0,17.0,0,0,14.4583
235,0,24.0,0,0,10.5
348,1,,1,0,16.1
831,1,15.0,1,0,14.4542
698,1,,0,0,7.7333
793,0,,8,2,69.55
611,0,39.0,1,5,31.275
403,0,21.0,1,0,9.825
702,1,35.0,0,0,26.2875
542,0,9.0,4,2,31.275
50,0,18.0,1,0,17.8
244,0,22.0,0,0,7.125
644,1,,0,0,56.4958
303,0,19.0,0,0,0.0
279,0,7.0,4,1,29.125
180,0,36.0,0,0,0.0
202,0,,8,2,69.55
158,0,30.0,0,0,8.05
572,1,53.0,2,0,51.4792
795,0,25.0,0,0,7.8958
839,1,32.0,0,0,56.4958
232,0,29.0,0,0,7.775
620,0,26.0,0,0,10.5
451,0,36.0,1,2,27.75
809,0,39.0,0,0,13.0
712,0,,0,0,26.55
519,1,36.0,1,0,26.0
709,1,22.0,0,0,151.55
790,0,46.0,0,0,79.2
454,1,49.0,1,0,89.1042
299,1,,0,0,30.5
731,1,29.0,0,0,211.3375
539,0,,0,0,14.5
298,0,2.0,1,2,151.55
353,0,15.0,1,1,7.2292
33,1,,0,0,7.75
546,0,64.0,0,0,26.0
387,0,1.0,5,2,46.9
205,1,18.0,0,0,8.05
126,1,12.0,1,0,11.2417
176,0,18.0,1,1,7.8542
656,0,24.0,2,0,73.5
599,0,,0,0,7.225
236,0,,0,0,7.55
111,0,47.0,0,0,52.0
480,1,2.0,0,1,12.2875
96,0,,0,0,8.05
529,0,39.0,0,0,7.925
779,0,,0,0,7.7375
21,0,35.0,0,0,26.0
764,1,36.0,1,2,120.0
879,0,,0,0,7.8958
29,1,,0,0,7.8792
445,1,,0,0,8.1125
278,0,,0,0,0.0
735,0,23.0,0,0,13.0
285,0,,0,0,26.0
619,1,4.0,2,1,39.0
257,1,,0,0,79.2
185,1,4.0,0,2,22.025
399,0,23.0,0,0,10.5
877,0,20.0,0,0,9.8458
212,1,35.0,0,0,21.0
582,1,39.0,1,1,110.8833
90,0,24.0,0,0,8.05
405,0,20.0,0,0,8.6625
192,0,19.0,0,0,13.0
559,1,39.0,1,1,79.65
594,0,,0,2,7.75
725,1,27.0,1,0,53.1
475,0,22.0,0,0,9.8375
772,0,48.0,0,0,7.8542
699,0,49.0,1,1,110.8833
28,0,19.0,3,2,263.0
224,0,,0,0,7.8958
217,1,27.0,0,0,7.925
249,1,37.0,1,1,52.5542
190,0,36.0,0,0,7.8958
392,1,21.0,0,0,7.7958
71,0,32.0,0,0,10.5
579,0,,1,0,14.4583
534,1,,0,2,22.3583
871,0,26.0,0,0,7.8958
614,0,,0,0,7.75
845,0,17.0,0,0,8.6625
220,0,30.0,0,0,10.5
234,1,5.0,4,2,31.3875
415,1,44.0,0,0,7.925
289,1,42.0,0,0,13.0
744,0,24.0,1,0,16.1
627,0,57.0,0,0,12.35
367,1,60.0,1,0,75.25
515,0,24.0,0,0,7.4958
565,0,,0,0,8.05
555,1,22.0,0,0,7.775
740,0,,0,0,7.8958
711,1,24.0,0,0,49.5042
334,0,16.0,2,0,18.0
625,0,21.0,0,0,16.1
105,0,37.0,2,0,7.925
129,1,,1,1,22.3583
686,0,25.0,1,2,41.5792
872,1,47.0,1,1,52.5542
242,1,,1,0,15.5
7,0,54.0,0,0,51.8625
586,1,18.0,0,2,79.65
404,0,28.0,1,0,15.85
734,0,23.0,0,0,13.0
550,1,8.0,1,1,36.75
590,0,,0,0,8.05
591,0,35.0,0,0,7.125
62,1,38.0,0,0,80.0
527,1,50.0,0,0,10.5
446,1,4.0,0,2,81.8583
63,0,45.0,1,0,83.475
38,0,21.0,0,0,8.05
745,1,31.0,0,0,7.925
630,0,,0,0,7.7333
166,1,9.0,0,2,20.525
651,0,,0,0,7.8958
834,0,23.0,0,0,7.8542
551,1,17.0,0,2,110.8833
697,0,44.0,0,0,8.05
401,1,39.0,0,0,7.925
782,1,17.0,1,0,57.0
13,0,20.0,0,0,8.05
836,1,39.0,1,1,83.1583
688,0,19.0,0,0,10.1708
440,0,31.0,0,0,10.5
287,1,30.0,0,0,9.5
145,0,18.0,0,0,11.5
640,0,,1,0,16.1
414,0,,0,0,0.0
693,1,,0,0,56.4958
675,0,,0,0,0.0
478,0,29.0,1,0,7.0458
26,1,38.0,1,5,31.3875
82,1,29.0,0,0,9.5
362,0,29.0,1,0,27.7208
134,1,29.0,1,0,26.0
2,1,38.0,1,0,71.2833
664,0,36.0,0,0,7.4958
20,1,,0,0,7.225
30,0,,0,0,7.8958
335,1,,1,0,133.65
502,0,21.0,0,0,7.75
857,1,45.0,1,1,164.8667
584,0,36.0,0,0,40.125
351,0,23.0,0,0,9.225
84,0,28.0,0,0,47.1
496,0,,0,0,14.4583
331,1,,2,0,23.25
54,1,29.0,1,0,26.0
891,0,32.0,0,0,7.75
174,0,21.0,0,0,7.925
437,0,21.0,2,2,34.375
489,0,30.0,0,0,8.05
571,1,62.0,0,0,10.5
760,1,33.0,0,0,86.5
816,0,,0,0,0.0
467,0,,0,0,0.0
840,1,,0,0,29.7
759,0,34.0,0,0,8.05
424,0,28.0,1,1,14.4
873,0,33.0,0,0,5.0
150,0,42.0,0,0,13.0
517,1,34.0,0,0,10.5
219,1,32.0,0,0,76.2917
855,0,44.0,1,0,26.0
495,0,21.0,0,0,8.05
465,0,,0,0,8.05
144,0,19.0,0,0,6.75
127,0,,0,0,7.75
153,0,55.5,0,0,8.05
239,0,19.0,0,0,10.5
593,0,47.0,0,0,7.25
536,1,7.0,0,2,26.25
819,0,43.0,0,0,6.45
248,1,24.0,0,2,14.5
574,1,,0,0,7.75
109,0,38.0,0,0,7.8958
384,1,35.0,1,0,52.0
338,1,41.0,0,0,134.5
869,0,,0,0,9.5
605,1,35.0,0,0,26.55
45,1,19.0,0,0,7.8792
602,0,,0,0,7.8958
406,0,34.0,1,0,21.0
713,1,48.0,1,0,52.0
507,1,33.0,0,2,26.0
325,0,,8,2,69.55
792,0,16.0,0,0,26.0
169,0,,0,0,25.925
138,0,37.0,1,0,53.1
423,0,29.0,0,0,7.875
221,1,16.0,0,0,8.05
226,0,22.0,0,0,9.35
455,0,,0,0,8.05
520,0,32.0,0,0,7.8958
788,0,8.0,4,1,29.125
628,1,21.0,0,0,77.9583
580,1,32.0,0,0,7.925
356,0,28.0,0,0,9.5
690,1,15.0,0,1,211.3375
137,1,19.0,0,2,26.2833
729,0,25.0,1,0,26.0
762,0,41.0,0,0,7.125
674,1,31.0,0,0,13.0
813,0,35.0,0,0,10.5
777,0,,0,0,7.75
808,0,18.0,0,0,7.775
294,0,24.0,0,0,8.85
843,1,30.0,0,0,31.0
11,1,4.0,1,1,16.7
856,1,18.0,0,1,9.35
541,1,36.0,0,2,71.0
252,0,29.0,1,1,10.4625
208,1,26.0,0,0,18.7875
394,1,23.0,1,0,113.275
637,0,32.0,0,0,7.925
70,0,26.0,2,0,8.6625
195,1,44.0,0,0,27.7208
650,1,23.0,0,0,7.55
573,1,36.0,0,0,26.3875
841,0,20.0,0,0,7.925
113,0,22.0,0,0,8.05
326,1,36.0,0,0,135.6333
613,1,,1,0,15.5
313,0,26.0,1,1,26.0
433,1,42.0,1,0,26.0
503,0,,0,0,7.6292
342,1,24.0,3,2,263.0
612,0,,0,0,7.05
789,1,1.0,1,2,20.575
508,1,,0,0,26.55
623,1,20.0,1,1,15.7417
442,0,20.0,0,0,9.5
282,0,28.0,0,0,7.8542
408,1,3.0,1,1,18.75
188,1,45.0,0,0,26.55
443,0,25.0,1,0,7.775
635,0,9.0,3,2,27.9
706,0,39.0,0,0,26.0
460,0,,0,0,7.75
93,0,46.0,1,0,61.175
411,0,,0,0,7.8958
652,1,18.0,0,1,23.0
575,0,16.0,0,0,8.05
874,0,47.0,0,0,9.0
504,0,37.0,0,0,9.5875
687,0,14.0,4,1,39.6875
476,0,,0,0,52.0
806,0,31.0,0,0,7.775
558,0,,0,0,227.525
659,0,23.0,0,0,13.0
131,0,33.0,0,0,7.8958
812,0,39.0,0,0,24.15
563,0,28.0,0,0,13.5
610,1,40.0,0,0,153.4625
198,0,42.0,0,1,8.4042
216,1,31.0,1,0,113.275
753,0,33.0,0,0,9.5
885,0,25.0,0,0,7.05
798,1,31.0,0,0,8.6833
482,0,,0,0,0.0
576,0,19.0,0,0,14.5
472,0,38.0,0,0,8.6625
441,1,45.0,1,1,26.25
737,0,48.0,1,3,34.375
682,1,27.0,0,0,76.7292
258,1,30.0,0,0,86.5
429,0,,0,0,7.75
851,0,4.0,4,2,31.275
498,0,,0,0,15.1
636,1,28.0,0,0,13.0
491,0,,1,0,19.9667
666,0,32.0,2,0,73.5
461,1,48.0,0,0,26.55
77,0,,0,0,7.8958
553,0,,0,0,7.8292
807,0,39.0,0,0,0.0
787,1,18.0,0,0,7.4958
66,1,,1,1,15.2458
820,0,10.0,3,2,27.9
207,0,32.0,1,0,15.85
9,1,27.0,0,2,11.1333
78,0,,0,0,8.05
773,0,57.0,0,0,10.5
59,1,5.0,1,2,27.75
473,1,33.0,1,2,27.75
425,0,18.0,1,1,20.2125
378,0,27.0,0,2,211.5
481,0,9.0,5,2,46.9
497,1,54.0,1,0,78.2667
632,0,51.0,0,0,7.0542
858,1,51.0,0,0,26.55
320,1,40.0,1,1,134.5
365,0,,1,0,15.5
413,1,33.0,1,0,90.0
142,1,22.0,0,0,7.75
89,1,23.0,3,2,263.0
648,1,56.0,0,0,35.5
324,1,22.0,1,1,29.0
322,0,27.0,0,0,7.8958
61,0,22.0,0,0,7.2292
487,1,35.0,1,0,90.0
386,0,18.0,0,0,73.5
420,0,10.0,0,2,24.15
434,0,17.0,0,0,7.125
302,1,,2,0,23.25
870,1,4.0,1,1,11.1333
297,0,23.5,0,0,7.2292
316,1,26.0,0,0,7.8542
830,1,62.0,0,0,80.0
47,0,,1,0,15.5
87,0,16.0,1,3,34.375
110,1,,1,0,24.15
361,0,40.0,1,4,27.9
646,1,48.0,1,0,76.7292
17,0,2.0,4,1,29.125
494,0,71.0,0,0,49.5042
194,1,3.0,1,1,26.0
850,1,,1,0,89.1042
629,0,26.0,0,0,7.8958
402,0,26.0,0,0,8.05
540,1,22.0,0,2,49.5
439,0,64.0,1,4,263.0
141,0,,0,2,15.2458
199,1,,0,0,7.75
468,0,56.0,0,0,26.55
15,0,14.0,0,0,7.8542
88,0,,0,0,8.05
266,0,36.0,0,0,10.5
263,0,52.0,1,1,79.65
223,0,51.0,0,0,8.05
756,1,0.67,1,1,14.5
260,1,50.0,0,1,26.0
4,1,35.0,1,0,53.1
355,0,,0,0,7.225
490,1,9.0,1,1,15.9
616,1,24.0,1,2,65.0
474,1,23.0,0,0,13.7917
662,0,40.0,0,0,7.225
140,0,24.0,0,0,79.2
68,0,19.0,0,0,8.1583
516,0,47.0,0,0,34.0208
343,0,28.0,0,0,13.0
57,1,21.0,0,0,10.5
305,0,,0,0,8.05
746,0,70.0,1,1,71.0
52,0,21.0,0,0,7.8
514,1,54.0,1,0,59.4
466,0,38.0,0,0,7.05
531,1,2.0,1,1,26.0
781,1,13.0,0,0,7.2292
306,1,0.92,1,2,151.55
435,0,50.0,1,0,55.9
538,1,30.0,0,0,106.425
696,0,52.0,0,0,13.5
358,0,38.0,0,0,13.0
187,1,,1,0,15.5
556,0,62.0,0,0,26.55
130,0,45.0,0,0,6.975
360,1,,0,0,7.8792
245,0,30.0,0,0,7.225
256,1,29.0,0,2,15.2458
783,0,29.0,0,0,30.0
391,1,36.0,1,2,120.0
721,1,6.0,0,1,33.0
155,0,,0,0,7.3125
372,0,18.0,1,0,6.4958
890,1,26.0,0,0,30.0
583,0,54.0,0,0,26.0
848,0,35.0,0,0,7.8958
159,0,,0,0,8.6625
766,1,51.0,1,0,77.9583
844,0,34.5,0,0,6.4375
272,1,25.0,0,0,0.0
485,1,25.0,1,0,91.0792
147,1,27.0,0,0,7.7958
718,1,27.0,0,0,10.5
791,0,,0,0,7.75
395,1,24.0,0,2,16.7
827,0,,0,0,56.4958
419,0,30.0,0,0,13.0
577,1,34.0,0,0,13.0
838,0,,0,0,8.05
883,0,22.0,0,0,10.5167
681,0,,0,0,8.1375
589,0,22.0,0,0,8.05
291,1,26.0,0,0,78.85
412,0,,0,0,6.8583
631,1,80.0,0,0,30.0
214,0,30.0,0,0,13.0
359,1,,0,0,7.8792
181,0,,8,2,69.55
381,1,42.0,0,0,227.525
100,0,34.0,1,0,26.0
136,0,23.0,0,0,15.0458
177,0,,3,1,25.4667
505,1,16.0,0,0,86.5
560,1,36.0,1,0,17.4
597,1,,0,0,33.0
888,1,19.0,0,0,30.0
40,1,14.0,1,0,11.2417
341,1,2.0,1,1,26.0
3,1,26.0,0,0,7.925
452,0,,1,0,19.9667
824,1,27.0,0,1,12.475
818,0,31.0,1,1,37.0042
69,1,17.0,4,2,7.925
209,1,16.0,0,0,7.75
609,1,22.0,1,2,41.5792
421,0,,0,0,7.8958
254,0,30.0,1,0,16.1
847,0,,8,2,69.55
340,0,45.0,0,0,35.5
410,0,,3,1,25.4667
112,0,14.5,1,0,14.4542
225,1,38.0,1,0,90.0
545,0,50.0,1,0,106.425
74,0,26.0,1,0,14.4542
48,1,,0,0,7.75
639,0,41.0,0,5,39.6875
114,0,20.0,1,0,9.825
97,0,71.0,0,0,34.6542
738,1,35.0,0,0,512.3292
215,0,,1,0,7.75
570,1,32.0,0,0,7.8542
124,1,32.5,0,0,13.0
107,1,21.0,0,0,7.65
596,0,36.0,1,1,24.15
18,1,,0,0,13.0
743,1,21.0,2,2,262.375
99,1,34.0,0,1,23.0
323,1,30.0,0,0,12.35
383,0,32.0,0,0,7.925
366,0,30.0,0,0,7.25
511,1,29.0,0,0,7.75
